[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 243] | [func: _train_run] | [INFO : Dataset preprocessing has finished.] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 175] | [func: _train_run] | [INFO : Starting training supervised selectors, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 191] | [func: _train_run] | [INFO : Loading hyperparameters and search space for supervised selector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 217] | [func: _train_run] | [INFO : Choose supervised selector: GBDTSelector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 249] | [func: _train_run] | [INFO : Update search space for supervised selector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 257] | [func: _train_run] | [INFO : Starting training supervised selector models, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 264] | [func: _train_run] | [INFO : supervised selector models training, round: 0, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 292] | [func: _train_run] | [INFO : trial: 0, supervised selector training, and starting training model, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 302] | [func: _train_run] | [INFO : Parse feature configure and generate feature configure object, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 313] | [func: _train_run] | [INFO : Update hyperparameters of model, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 321] | [func: _train_run] | [INFO : Auto model training starts, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 122] | [func: _train_run] | [INFO : Starting update search space, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: tpe, Auto machine learning trial number: 0] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 127] | [func: train] | [INFO : Start training lightgbm model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 142] | [func: train] | [INFO : Training lightgbm model finished, with current memory usage: 0.32 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 168] | [func: _train_run] | [INFO : Evaluate model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 193] | [func: eval] | [INFO : Starting evaluation, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 213] | [func: eval] | [INFO : Starting predicting, with current memory usage: 0.32 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 243] | [func: eval] | [INFO : train_metric: 0.8767587366873922, val_metrics: 0.8802572493330789] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 175] | [func: _train_run] | [INFO : Update best model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: tpe, Auto machine learning trial number: 1] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
